Id,建築類別,常規分區,街道長度,街道寬度,街道類型,路面狀況,路面平整程度,實用性,街道配置,土地坡度,鄰居,環境2,住宅類型,住宅風格,整體建物品質,整體屋況評分,屋頂風格,屋頂材料,外牆材料,外牆材料2,石磚類型,石磚面積,外部質感,外部現況,地基類型,地下室高度,地下室狀況,地下室在平地牆面高度,地下室品質,地下室面積,第二地下室品質,第二地下室面積,未完工地下室面積,總地下室面積,加溫方式,加溫品質,中央空調,電路狀況,一樓面積,二樓面積,劣質區域面積,生活空間面積,地下室浴室,地下室化妝室,浴室,化妝室,臥室數量,廚房數量,廚房品質,總房數_不含衛浴,住家機能評分,壁爐數量,車庫類型,車庫裝潢,車庫容量,車庫面積,車庫品質,車庫現況,車庫車道,木質地板面積,露臺面積,封閉式門廊,三面外門廊,屏幕通道,泳池面積,其他價值,登載時間 / 月,登載時間 / 年,銷售類型,銷售條件,銷售價格,屋齡,翻修屋齡,車庫庫齡,鄰近鐵路,鄰近幹道,周遭環境
1,60,RL,65.0,8450,1,3,3,3,0,2,CollgCr,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,1,4,856,854,0,1710,1,0,2,1,3,1,4,8,0,0,Attchd,0,2,548,0,0,2,0,61,0,0,0,0,0,2,2008,WD,Normal,208500,17,17,17.0,0,0,0
2,20,RL,80.0,9600,1,3,3,3,3,2,Veenker,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,1,4,1262,0,0,1262,0,1,2,0,3,1,3,6,0,1,Attchd,0,2,460,0,0,2,298,0,0,0,0,0,0,5,2007,WD,Normal,181500,44,44,44.0,0,0,0
3,60,RL,68.0,11250,1,2,3,3,0,2,CollgCr,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,1,4,920,866,0,1786,1,0,2,1,3,1,4,6,0,1,Attchd,0,2,608,0,0,2,0,42,0,0,0,0,0,9,2008,WD,Normal,223500,19,18,19.0,0,0,0
4,70,RL,60.0,9550,1,2,3,3,1,2,Crawfor,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,1,4,961,756,0,1717,1,0,1,0,3,1,4,7,0,1,Detchd,0,3,642,0,0,2,0,35,272,0,0,0,0,2,2006,WD,Abnorml,140000,105,50,22.0,0,0,0
5,60,RL,84.0,14260,1,2,3,3,3,2,NoRidge,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,1,4,1145,1053,0,2198,1,0,2,1,4,1,4,9,0,1,Attchd,0,3,836,0,0,2,192,84,0,0,0,0,0,12,2008,WD,Normal,250000,20,20,20.0,0,0,0
6,50,RL,85.0,14115,1,2,3,3,0,2,Mitchel,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,1,4,796,566,0,1362,1,0,1,1,1,1,3,5,0,0,Attchd,0,2,480,0,0,2,40,30,0,320,0,0,700,10,2009,WD,Normal,143000,27,25,27.0,0,0,0
7,20,RL,75.0,10084,1,3,3,3,0,2,Somerst,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,1,4,1694,0,0,1694,1,0,2,0,3,1,4,7,0,1,Attchd,0,2,636,0,0,2,255,57,0,0,0,0,0,8,2007,WD,Normal,307000,16,15,16.0,0,0,0
8,60,RL,81.28888888888889,10382,1,2,3,3,1,2,NWAmes,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,1,4,1107,983,0,2090,1,0,2,1,3,1,3,7,0,2,Attchd,0,2,484,0,0,2,235,204,228,0,0,0,350,11,2009,WD,Normal,200000,47,47,47.0,0,0,1
9,50,RM,51.0,6120,1,3,3,3,0,2,OldTown,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,1,2,1022,752,0,1774,0,0,2,0,2,2,3,8,0,2,Detchd,0,2,468,0,0,2,90,0,205,0,0,0,0,4,2008,WD,Abnorml,129900,89,70,89.0,0,1,0
10,190,RL,50.0,7420,1,3,3,3,1,2,BrkSide,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,1,4,1077,0,0,1077,1,0,1,0,2,2,3,5,0,2,Attchd,0,1,205,0,0,2,0,4,0,0,0,0,0,1,2008,WD,Normal,118000,81,70,81.0,0,1,0
